time,x,y,z,vx,vy,vz,roll,pitch,yaw
0.0,-2999.813935404947,-0.005810278353962296,1000.0201695849281,3.7212919010576897,-0.11620556707924592,0.40339169856255896,0.0,-0.0,-1.7888072048909857e-07
0.05,-2999.608255203321,-0.018947389655840443,1000.1605475351054,4.113604032527412,-0.2627422260375629,2.80755900354525,0.0,-0.0,-7.155228819563944e-07
0.1,-2999.4026608626386,-0.033808468915620275,1000.2332470338868,4.111886813639642,-0.2972215851955966,1.4539899756275627,0.0,-0.0,-1.7888072048909857e-06
0.15000000000000002,-2999.0994591488925,-0.06702846475869433,1000.5177681208553,6.064034274919957,-0.664399916861481,5.690421739370522,0.0,-0.0,-3.577614409781972e-06
0.2,-2998.6164673195376,-0.1261212848820814,1001.0852061212272,9.659836587094862,-1.1818564024677416,11.348760007438838,0.0,-0.0,-6.2608252171184505e-06
0.25,-2997.811656686973,-0.1722692618493787,1002.1180917257078,16.09621265128946,-0.9229595393459461,20.65771208961183,0.0,-0.0,-9.865203371872758e-06
0.3,-2996.3918098493946,-0.21876095669736828,1003.8598803106819,28.3969367515679,-0.9298338969597911,34.835771699481775,0.0,-0.0,-1.4390939793737178e-05
0.35,-2992.894494758607,-0.2621311164041859,1008.277804409786,69.94630181575087,-0.8674031941363526,88.35848198208245,0.0,-0.0,-1.9838401548312212e-05
0.39999999999999997,-2977.568281908591,-0.4002148918465189,1026.324675234575,306.52425700031495,-2.7616755088466602,360.93741649577873,0.0,-0.0,-2.620855533724489e-05
0.44999999999999996,-2762.8082780587024,-0.9137982729978498,1276.666693379948,4295.2000769977685,-10.271667623026616,5006.840362907457,0.0,-0.0,-3.35057065958485e-05
0.49999999999999994,36068.637164727814,9.021714683325017,46431.39706516227,776628.9088557302,198.71025912645734,903094.6074356465,0.0,-0.0,-4.179597157804661e-05
0.5499999999999999,122143285.96801199,-4930.143359674282,144192710.2117162,2442144346.6169453,-98783.30148715213,2882925576.2930207,0.0,-0.0,-5.125823100432832e-05
0.6,1223284480351037.0,7601281459.059794,1417279726413846.0,2.446568716415502e+16,152025727784.06308,2.834559164442271e+16,0.0,-0.0,-6.153472343371542e-05
0.65,1.2073549525110555e+29,-1.1977268550247242e+23,1.4317812772051195e+29,2.4147099050220865e+30,-2.3954537100496e+24,2.8635625544102103e+30,0.0,-0.0,-7.298321030718614e-05
0.7000000000000001,1.2006469149210393e+57,1.8124737785233285e+50,1.3831821006485687e+57,2.4012938298420786e+58,3.624947557046657e+51,2.766364201297137e+58,0.0,-0.0,-8.524593018376225e-05
0.7500000000000001,1.1569756438359153e+113,-2.8206390359768717e+105,1.3817394200538309e+113,2.3139512876718305e+114,-5.641278071953743e+106,2.7634788401076615e+114,0.0,-0.0,-9.868064450442197e-05
0.8000000000000002,1.1090972553488318e+225,4.054440253954555e+216,1.2665506486008537e+225,2.2181945106976634e+226,8.10888050790911e+217,2.5331012972017074e+226,0.0,-0.0,-0.00011292959182818707
0.8500000000000002,nan,nan,inf,nan,nan,inf,0.0,-0.0,-0.0001283505335960358
