timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw,left_brake,right_brake
0.0,0.39640200870135767,-1000.0079026201747,1199.8621986452329,7.928040174027153,-0.15805240349396826,-2.7560270953420893,[ 0.99998371 -0.00548181 -0.00158863],[ 5.48181492e-03  9.99984975e-01 -4.35433180e-06],[ 1.58863311e-03 -4.35433180e-06  9.99998738e-01],0.0,0.0
0.05,0.7852857477491374,-1000.0231289876887,1199.6399844041866,7.777674780955594,-0.30452735027803546,-4.4442848209266,[ 0.99985304 -0.01599171 -0.00617725],[ 1.59917388e-02  9.99872123e-01 -4.51670999e-05],[ 6.17718555e-03 -5.36245570e-05  9.99980920e-01],0.07500000000000001,0.07500000000000001
0.1,1.1697647641213993,-1000.0441843268364,1199.3509188442335,7.68958032744524,-0.4211067829557275,-5.781311199060167,[ 0.99941097 -0.03044282 -0.01584158],[ 3.04434017e-02  9.99536471e-01 -2.04330078e-04],[ 1.58404615e-02 -2.78061987e-04  9.99874493e-01],0.15000000000000002,0.15000000000000002
0.15000000000000002,1.551420277723338,-1000.070387503433,1199.0107273693952,7.6331102720387705,-0.5240635319320668,-6.8038294967684445,[ 0.99829734 -0.04832701 -0.03266374],[ 4.83319517e-02  9.98831124e-01 -6.38672704e-04],[ 3.26564227e-02 -9.41116917e-04  9.99466194e-01],0.22500000000000003,0.22500000000000003
0.2,1.9304344522165744,-1000.1007399210738,1198.6294917126602,7.580283489864729,-0.6070483528158952,-7.624713134701487,[ 0.99589966 -0.06888207 -0.05864402],[ 0.0689081   0.99762176 -0.00158079],[ 0.05861344 -0.00246674  0.99827771],0.30000000000000004,0.30000000000000004
0.25,2.3063675197594558,-1000.1339062637364,1198.2134916955788,7.518661350857622,-0.6633268532522808,-8.320000341626388,[ 0.99123847 -0.09104659 -0.09569126],[ 0.09114913  0.99583176 -0.00330818],[ 0.0955936  -0.00544298  0.99540556],0.375,0.375
0.3,2.678441441365303,-1000.1684473076335,1197.7666524402907,7.441478432116941,-0.6908208779422381,-8.936785105762297,[ 0.98278742 -0.11357323 -0.14570519],[ 0.11390506  0.99347297 -0.00609092],[ 0.14544594 -0.01061048  0.9893093 ],0.44999999999999996,0.44999999999999996
0.35,3.045692320450878,-1000.2030092486884,1197.2912045112391,7.345017581711509,-0.6912388210970727,-9.508958581030711,[ 0.96822532 -0.13509298 -0.21045099],[ 0.13602097  0.99065419 -0.01012817],[ 0.2098524  -0.0188194   0.97755194],0.5249999999999999,0.5249999999999999
0.39999999999999997,3.4070597598137584,-1000.2365888379975,1196.78820735353,7.227348787257602,-0.6715917861809616,-10.059943154182328,[ 0.94402987 -0.1541974  -0.29160034],[ 0.15651599  0.98755365 -0.01550902],[ 0.29036243 -0.03099914  0.95641451],0.5999999999999999,0.5999999999999999
0.44999999999999996,3.7615750273871154,-1000.2689142904705,1196.2577595218129,7.090305351467136,-0.6465090494601673,-10.608956634341572,[ 0.90495474 -0.16956545 -0.39026206],[ 0.17483895  0.98434525 -0.0222661 ],[ 0.38792817 -0.0480832   0.92043454],0.6749999999999998,0.6749999999999998
0.49999999999999994,4.108821219346786,-1000.3019793183178,1195.6993043143368,6.944923839193417,-0.6613005569442248,-11.169104149520862,[ 0.84337047 -0.18083949 -0.50598749],[ 0.19177319  0.98095123 -0.03094715],[ 0.50194551 -0.07093492  0.86198546],0.7499999999999998,0.7499999999999998
0.5499999999999999,4.45006600688127,-1000.3445906058291,1195.1122889090811,6.824895750689693,-0.8522257502261898,-11.740308105112064,[ 0.74787678 -0.19143541 -0.63563575],[ 0.21154984  0.97632445 -0.04513569],[ 0.62922729 -0.1007127   0.77066852],0.8,0.8
0.6,4.779148321470896,-1000.3627549464857,1194.492065627388,6.581646291792526,-0.36328681313106403,-12.404465633863948,[ 0.58483323 -0.27346389 -0.7636672 ],[ 0.28496111  0.95071584 -0.12221519],[ 0.75945195 -0.14613995  0.63393679],0.8,0.8
0.65,5.097841365613379,-1000.367846487629,1193.8372852237283,6.373860882849659,-0.10183082286625272,-13.09560807319661,[ 0.32581103 -0.40875923 -0.852504  ],[ 0.37427541  0.88380467 -0.28072626],[ 0.86819646 -0.22760757  0.44094184],0.8,0.8
0.7000000000000001,5.40798300378099,-1000.3659449092,1193.145883289915,6.202832763352225,0.03803156857956014,-13.82803867626598,[-0.04614886 -0.55260334 -0.83216575],[ 0.41389665  0.74760328 -0.51940245],[ 0.90915337 -0.36840044  0.19421963],0.8,0.8
0.7500000000000001,5.708910084947902,-1000.3556010645045,1192.4130440227984,6.018541623338244,0.20687689391106,-14.656785342330274,[-0.48651822 -0.62323517 -0.61227277],[ 0.31474086  0.52872137 -0.78828415],[ 0.81500811 -0.57622186 -0.061075  ],0.8,0.8
0.8000000000000002,5.994226093816957,-1000.3307945073674,1191.6255172189979,5.706320177381102,0.49613114274202924,-15.750536076011365,[-0.84245603 -0.51808569 -0.14783455],[ 0.00675195  0.264221   -0.96443853],[ 0.5387228  -0.81349522 -0.21909649],0.8,0.8
0.8500000000000002,6.258448862238898,-1000.2894426195514,1190.7546991146532,5.284455368438805,0.8270377563191569,-17.41636208689343,[-0.8549228  -0.28559336  0.43306286],[-0.46261118  0.04198581 -0.88556654],[ 0.23472943 -0.95743074 -0.1680133 ],0.8,0.8
0.9000000000000002,6.514471785371098,-1000.2375811857626,1189.7817727349757,5.120458462644021,1.0372286757771114,-19.458527593551317,[-0.46102385  0.01011553  0.88733009],[-0.88662224 -0.04677588 -0.46012283],[ 0.03685126 -0.99885419  0.03053345],0.8,0.8
